geo_type,geo_id,msa_id,cbsa_code,msa_name,year,msa_population_rank_2020_census_nonpr,msa_2020_census_population,pit_total,pit_sheltered,pit_unsheltered,median_contract_rent_weighted,contract_rent_cash_renter_households,contract_rent_distribution_total,contract_rent_distribution_with_cash_rent,contract_rent_distribution_cash_rent_lt_100,contract_rent_distribution_cash_rent_100_to_149,contract_rent_distribution_cash_rent_150_to_199,contract_rent_distribution_cash_rent_200_to_249,contract_rent_distribution_cash_rent_250_to_299,contract_rent_distribution_cash_rent_300_to_349,contract_rent_distribution_cash_rent_350_to_399,contract_rent_distribution_cash_rent_400_to_449,contract_rent_distribution_cash_rent_450_to_499,contract_rent_distribution_cash_rent_500_to_549,contract_rent_distribution_cash_rent_550_to_599,contract_rent_distribution_cash_rent_600_to_649,contract_rent_distribution_cash_rent_650_to_699,contract_rent_distribution_cash_rent_700_to_749,contract_rent_distribution_cash_rent_750_to_799,contract_rent_distribution_cash_rent_800_to_899,contract_rent_distribution_cash_rent_900_to_999,contract_rent_distribution_cash_rent_1000_to_1249,contract_rent_distribution_cash_rent_1250_to_1499,contract_rent_distribution_cash_rent_1500_to_1999,contract_rent_distribution_cash_rent_2000_plus,contract_rent_distribution_cash_rent_2000_to_2499,contract_rent_distribution_cash_rent_2500_to_2999,contract_rent_distribution_cash_rent_3000_to_3499,contract_rent_distribution_cash_rent_3500_plus,contract_rent_distribution_no_cash_rent,acs5_vintage,tract_vintage,rent_source,pit_vintage,pit_allocation_basis,coc_boundary_vintage,county_vintage,msa_definition_version
msa,47900,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010,6,6278542,12100.796774323067,10611.450576450176,1489.3461978728924,1205.2484294784167,659303.0,681614.0,659303.0,7462.0,6388.0,8719.0,5195.0,4535.0,4824.0,4356.0,6964.0,5645.0,9782.0,8013.0,12198.0,10964.0,15611.0,17276.0,47496.0,56251.0,143235.0,105849.0,113860.0,64680.0,,,,,22311.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,47900,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020,6,6278542,9967.33725721209,8750.475136352139,1216.86212085995,1633.449180098779,781591.0,803862.0,781591.0,5684.0,4584.0,4456.0,8751.0,3799.0,4525.0,3768.0,3849.0,2522.0,6357.0,3634.0,5478.0,5195.0,6911.0,6878.0,17091.0,23875.0,92644.0,134323.0,243186.0,,107870.0,45829.0,24022.0,16360.0,22271.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,37980,37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,7,6245051,9784.22197575861,8978.73866681234,805.4833089462688,804.8176830422883,639805.0,669475.0,639805.0,9508.0,8085.0,12992.0,11091.0,8765.0,11897.0,12284.0,19110.0,19653.0,29396.0,29211.0,43557.0,38791.0,45661.0,44164.0,83958.0,60259.0,73116.0,34652.0,28505.0,15150.0,,,,,29670.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,37980,37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,7,6245051,8441.590938792584,7175.980748336306,1265.6101904562777,1068.6129328762358,730668.0,758304.0,730668.0,7558.0,6317.0,7559.0,14049.0,7599.0,9254.0,5933.0,8516.0,6605.0,17346.0,11479.0,22330.0,19475.0,31305.0,34953.0,78354.0,77645.0,144017.0,90709.0,83977.0,,27195.0,9213.0,5389.0,3891.0,27636.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,33100,33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2010,8,6138333,9250.686756458328,6284.714476646275,2965.972279812052,967.6808067263437,662841.0,690566.0,662841.0,6109.0,12864.0,10281.0,6076.0,5058.0,5790.0,5594.0,8384.0,9738.0,16845.0,16066.0,25890.0,24041.0,34485.0,37921.0,84175.0,73548.0,128367.0,69981.0,56821.0,24807.0,,,,,27725.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,33100,33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2020,8,6138333,7280.702533055039,4246.864602394908,3033.8379306601314,1327.067042838312,846645.0,873001.0,846645.0,3866.0,5958.0,11383.0,7926.0,4859.0,4624.0,3686.0,6011.0,3949.0,8702.0,6174.0,11325.0,8414.0,14938.0,17461.0,52206.0,63543.0,175188.0,153064.0,178911.0,,64202.0,23165.0,9608.0,7482.0,26356.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,12060,12060,12060,"Atlanta-Sandy Springs-Roswell, GA",2010,9,6104803,8830.975173378445,5466.431565320455,3364.5436080579907,753.4894845084966,583318.0,604834.0,583318.0,6888.0,5936.0,7816.0,6547.0,5827.0,8497.0,9758.0,16077.0,18579.0,31224.0,35212.0,46553.0,45956.0,50213.0,46563.0,83266.0,52150.0,65396.0,22403.0,13495.0,4962.0,,,,,21516.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,12060,12060,12060,"Atlanta-Sandy Springs-Roswell, GA",2020,9,6104803,4882.589746566689,3287.251506342792,1595.3382402238974,1046.899011063482,748284.0,771669.0,748284.0,5588.0,5191.0,4897.0,7719.0,4950.0,6401.0,6143.0,10029.0,8191.0,15731.0,15040.0,24947.0,21152.0,31549.0,34236.0,85061.0,84413.0,160818.0,111130.0,79442.0,,15487.0,5007.0,2326.0,2836.0,23385.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,14460,14460,14460,"Boston-Cambridge-Newton, MA-NH",2010,10,4941632,10991.133334154614,10424.68701677676,566.4463173778547,1034.1288825800443,618678.0,639479.0,618678.0,6324.0,7484.0,14801.0,24223.0,13189.0,14249.0,9117.0,10649.0,8640.0,14463.0,8880.0,16504.0,12308.0,19443.0,19448.0,54916.0,54052.0,118534.0,81340.0,74539.0,35575.0,,,,,20801.0,2010,2010,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2010.parquet,2020,coc_area,2020,2023,census_msa_2023
msa,14460,14460,14460,"Boston-Cambridge-Newton, MA-NH",2020,10,4941632,12499.488727099091,11752.504936122004,746.9837909770871,1475.7897646924685,687409.0,709196.0,687409.0,5373.0,5241.0,6926.0,16143.0,19358.0,12072.0,9008.0,10861.0,6856.0,11249.0,5480.0,10436.0,6110.0,9872.0,8733.0,24781.0,28632.0,91962.0,89392.0,150918.0,,83631.0,36667.0,21947.0,15761.0,21787.0,2020,2020,data/curated/acs_contract_rent_cache/acs5_contract_rent_tracts__A2020.parquet,2020,coc_area,2020,2023,census_msa_2023
