coc_id,coc_name,year,median_contract_rent,first_quartile_contract_rent,pit_total,pit_sheltered,pit_unsheltered,acs5_vintage_used,tract_vintage_used
AK-501,Alaska Balance of State CoC,2023,1208.5,834.76,854,721,133,2023,2020
AK-501,Alaska Balance of State CoC,2024,1243.44,858.85,977,844,133,2024,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2010,560.08,393.96,2273,1069,1204,2010,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2011,579.36,405.33,1950,1024,926,2011,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2012,597.28,417.89,1707,1009,698,2012,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2013,610.66,429.3,1469,960,509,2013,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2014,622.38,429.61,1329,915,414,2014,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2015,624.43,432.9,1153,916,237,2015,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2016,635.89,439.52,1228,1032,196,2016,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2017,654.43,448.26,1092,875,217,2017,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2018,677.9,466.34,901,682,219,2018,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2019,708.44,481.73,981,655,326,2019,2010
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2020,746.38,509.6,848,601,247,2020,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2021,798.29,530.81,875,556,319,2021,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2022,877.47,580.78,943,601,342,2022,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2023,925.49,611.61,847,465,382,2023,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2024,976.42,641.93,911,516,395,2024,2020
AL-501,Mobile City & County/Baldwin County CoC,2010,541.9,383.29,883,482,401,2010,2010
AL-501,Mobile City & County/Baldwin County CoC,2011,563.28,396.19,718,407,311,2011,2010
AL-501,Mobile City & County/Baldwin County CoC,2012,578.28,418.15,634,324,310,2012,2010
AL-501,Mobile City & County/Baldwin County CoC,2013,592.14,429.18,493,260,233,2013,2010
AL-501,Mobile City & County/Baldwin County CoC,2014,608.24,443.59,598,461,137,2014,2010
AL-501,Mobile City & County/Baldwin County CoC,2015,623.76,457.8,578,364,214,2015,2010
AL-501,Mobile City & County/Baldwin County CoC,2016,634.17,468.23,623,387,236,2016,2010
AL-501,Mobile City & County/Baldwin County CoC,2017,650.63,477.93,606,341,265,2017,2010
AL-501,Mobile City & County/Baldwin County CoC,2018,664.67,487.58,551,318,233,2018,2010
AL-501,Mobile City & County/Baldwin County CoC,2019,689.25,493.98,505,303,202,2019,2010
AL-501,Mobile City & County/Baldwin County CoC,2020,704.03,504.77,631,267,364,2020,2020
AL-501,Mobile City & County/Baldwin County CoC,2021,741.82,530.94,219,219,0,2021,2020
AL-501,Mobile City & County/Baldwin County CoC,2022,797.74,564.99,585,388,197,2022,2020
AL-501,Mobile City & County/Baldwin County CoC,2023,840.84,593.4,670,313,357,2023,2020
AL-501,Mobile City & County/Baldwin County CoC,2024,882.23,628.14,675,324,351,2024,2020
AL-502,Florence/Northwest Alabama CoC,2010,338.75,241.93,170,162,8,2010,2010
AL-502,Florence/Northwest Alabama CoC,2011,352.22,248.12,244,234,10,2011,2010
AL-502,Florence/Northwest Alabama CoC,2012,359.13,257.93,192,188,4,2012,2010
AL-502,Florence/Northwest Alabama CoC,2013,369.27,262.86,223,197,26,2013,2010
AL-502,Florence/Northwest Alabama CoC,2014,380.07,270.11,209,189,20,2014,2010
AL-502,Florence/Northwest Alabama CoC,2015,386.56,273.43,245,214,31,2015,2010
AL-502,Florence/Northwest Alabama CoC,2016,397.99,282.3,337,286,51,2016,2010
AL-502,Florence/Northwest Alabama CoC,2017,412.31,295.04,155,133,22,2017,2010
AL-502,Florence/Northwest Alabama CoC,2018,425.45,304.26,256,234,22,2018,2010
AL-502,Florence/Northwest Alabama CoC,2019,425.51,307.26,390,189,201,2019,2010
AL-502,Florence/Northwest Alabama CoC,2020,437.58,315.9,215,174,41,2020,2020
AL-502,Florence/Northwest Alabama CoC,2021,459.4,333.18,183,149,34,2021,2020
AL-502,Florence/Northwest Alabama CoC,2022,507.16,350.13,232,198,34,2022,2020
AL-502,Florence/Northwest Alabama CoC,2023,543.18,389.37,195,163,32,2023,2020
AL-502,Florence/Northwest Alabama CoC,2024,570.91,410.03,210,156,54,2024,2020
AL-503,Huntsville/North Alabama CoC,2010,496.74,371.68,819,645,174,2010,2010
AL-503,Huntsville/North Alabama CoC,2011,513.28,379.63,656,481,175,2011,2010
AL-503,Huntsville/North Alabama CoC,2012,545.87,395.03,607,432,175,2012,2010
AL-503,Huntsville/North Alabama CoC,2013,561.7,402.69,586,409,177,2013,2010
AL-503,Huntsville/North Alabama CoC,2014,567.85,406.2,536,499,37,2014,2010
AL-503,Huntsville/North Alabama CoC,2015,582.49,410.9,420,357,63,2015,2010
AL-503,Huntsville/North Alabama CoC,2016,593.88,421.79,385,298,87,2016,2010
AL-503,Huntsville/North Alabama CoC,2017,606.68,430.03,436,337,99,2017,2010
AL-503,Huntsville/North Alabama CoC,2018,629.28,447.48,424,308,116,2018,2010
AL-503,Huntsville/North Alabama CoC,2019,658.8,467.21,464,377,87,2019,2010
AL-503,Huntsville/North Alabama CoC,2020,704.64,499.03,561,406,155,2020,2020
AL-503,Huntsville/North Alabama CoC,2021,745.44,519.7,300,300,0,2021,2020
AL-503,Huntsville/North Alabama CoC,2022,825.91,575.51,549,318,231,2022,2020
AL-503,Huntsville/North Alabama CoC,2023,899.28,610.98,646,397,249,2023,2020
AL-503,Huntsville/North Alabama CoC,2024,982.67,667.37,621,376,245,2024,2020
AL-504,Montgomery City & County CoC,2010,536.98,385.59,444,294,150,2010,2010
AL-504,Montgomery City & County CoC,2011,563.49,401.36,433,287,146,2011,2010
AL-504,Montgomery City & County CoC,2012,580.23,416.04,487,343,144,2012,2010
AL-504,Montgomery City & County CoC,2013,601.5,428.29,515,399,116,2013,2010
AL-504,Montgomery City & County CoC,2014,613.24,439.29,490,409,81,2014,2010
AL-504,Montgomery City & County CoC,2015,623.47,447.83,441,373,68,2015,2010
AL-504,Montgomery City & County CoC,2016,644.59,464.09,367,293,74,2016,2010
AL-504,Montgomery City & County CoC,2017,662.07,478.55,377,314,63,2017,2010
AL-504,Montgomery City & County CoC,2018,684.72,502.52,369,300,69,2018,2010
AL-504,Montgomery City & County CoC,2019,701.0,514.49,330,273,57,2019,2010
AL-504,Montgomery City & County CoC,2020,726.12,529.16,351,275,76,2020,2020
AL-504,Montgomery City & County CoC,2021,745.92,543.7,215,215,0,2021,2020
AL-504,Montgomery City & County CoC,2022,794.4,585.45,278,232,46,2022,2020
AL-504,Montgomery City & County CoC,2023,827.38,599.77,345,218,127,2023,2020
AL-504,Montgomery City & County CoC,2024,846.28,613.93,340,199,141,2024,2020
AL-505,Gadsden/Northeast Alabama CoC,2010,377.63,274.46,370,294,76,2010,2010
AL-505,Gadsden/Northeast Alabama CoC,2011,386.34,288.98,495,353,142,2011,2010
AL-505,Gadsden/Northeast Alabama CoC,2012,400.25,302.72,544,424,120,2012,2010
AL-505,Gadsden/Northeast Alabama CoC,2013,408.43,307.81,399,329,70,2013,2010
AL-505,Gadsden/Northeast Alabama CoC,2014,420.17,314.26,438,368,70,2014,2010
AL-505,Gadsden/Northeast Alabama CoC,2015,425.64,316.24,156,103,53,2015,2010
AL-505,Gadsden/Northeast Alabama CoC,2016,432.09,321.54,167,91,76,2016,2010
AL-505,Gadsden/Northeast Alabama CoC,2017,442.01,326.1,163,103,60,2017,2010
AL-505,Gadsden/Northeast Alabama CoC,2018,459.56,336.6,146,86,60,2018,2010
AL-505,Gadsden/Northeast Alabama CoC,2019,475.3,350.54,224,75,149,2019,2010
AL-505,Gadsden/Northeast Alabama CoC,2020,489.0,365.07,280,82,198,2020,2020
AL-505,Gadsden/Northeast Alabama CoC,2021,497.62,371.83,537,58,479,2021,2020
AL-505,Gadsden/Northeast Alabama CoC,2022,542.86,406.04,190,40,150,2022,2020
AL-505,Gadsden/Northeast Alabama CoC,2023,561.32,406.26,236,49,187,2023,2020
AL-505,Gadsden/Northeast Alabama CoC,2024,585.45,425.84,335,51,284,2024,2020
AL-506,Tuscaloosa City & County CoC,2010,542.46,389.9,278,263,15,2010,2010
AL-506,Tuscaloosa City & County CoC,2011,577.26,418.99,265,236,29,2011,2010
AL-506,Tuscaloosa City & County CoC,2012,591.71,424.69,152,128,24,2012,2010
AL-506,Tuscaloosa City & County CoC,2013,594.95,431.28,99,95,4,2013,2010
AL-506,Tuscaloosa City & County CoC,2014,613.83,443.52,245,133,112,2014,2010
AL-506,Tuscaloosa City & County CoC,2015,607.24,447.85,339,144,195,2015,2010
AL-506,Tuscaloosa City & County CoC,2016,610.68,457.01,177,47,130,2016,2010
AL-506,Tuscaloosa City & County CoC,2017,627.5,480.56,200,137,63,2017,2010
AL-506,Tuscaloosa City & County CoC,2018,647.5,491.12,57,56,1,2018,2010
AL-506,Tuscaloosa City & County CoC,2019,659.5,486.78,44,44,0,2019,2010
AL-506,Tuscaloosa City & County CoC,2020,685.71,505.4,67,41,26,2020,2020
AL-506,Tuscaloosa City & County CoC,2021,733.79,527.5,37,37,0,2021,2020
AL-506,Tuscaloosa City & County CoC,2022,796.01,571.45,40,39,1,2022,2020
AL-506,Tuscaloosa City & County CoC,2023,807.17,592.1,82,65,17,2023,2020
AL-506,Tuscaloosa City & County CoC,2024,833.9,624.81,86,69,17,2024,2020
AL-507,Alabama Balance of State CoC,2010,360.58,241.16,809,682,127,2010,2010
AL-507,Alabama Balance of State CoC,2011,376.64,251.43,797,727,70,2011,2010
AL-507,Alabama Balance of State CoC,2012,389.59,257.43,886,816,70,2012,2010
AL-507,Alabama Balance of State CoC,2013,401.27,263.93,905,597,308,2013,2010
AL-507,Alabama Balance of State CoC,2014,414.76,280.01,716,544,172,2014,2010
AL-507,Alabama Balance of State CoC,2015,420.2,282.36,638,472,166,2015,2010
AL-507,Alabama Balance of State CoC,2016,432.98,292.82,827,459,368,2016,2010
AL-507,Alabama Balance of State CoC,2017,442.54,304.59,764,416,348,2017,2010
AL-507,Alabama Balance of State CoC,2018,453.14,308.36,730,440,290,2018,2010
AL-507,Alabama Balance of State CoC,2019,467.34,313.25,323,154,169,2019,2010
AL-507,Alabama Balance of State CoC,2020,484.29,320.24,398,206,192,2020,2020
AL-507,Alabama Balance of State CoC,2021,513.67,335.54,190,92,98,2021,2020
AL-507,Alabama Balance of State CoC,2022,552.64,355.54,935,356,579,2022,2020
AL-507,Alabama Balance of State CoC,2023,575.17,371.12,283,178,105,2023,2020
AL-507,Alabama Balance of State CoC,2024,603.92,382.41,1291,153,1138,2024,2020
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2010,429.48,291.58,,,,2010,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2011,448.44,301.85,,,,2011,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2012,466.42,310.69,,,,2012,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2013,480.85,323.01,,,,2013,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2014,497.44,333.31,,,,2014,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2015,506.9,339.13,,,,2015,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2016,513.28,344.49,,,,2016,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2017,532.09,357.19,,,,2017,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2018,549.63,366.27,,,,2018,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2019,557.34,379.38,,,,2019,2010
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2020,577.17,393.62,,,,2020,2020
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2021,598.02,410.02,,,,2021,2020
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2022,647.28,441.65,,,,2022,2020
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2023,685.83,465.67,,,,2023,2020
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",2024,711.1,463.95,132,59,73,2024,2020
AR-500,Little Rock/Central Arkansas CoC,2010,548.49,414.18,1425,973,452,2010,2010
AR-500,Little Rock/Central Arkansas CoC,2011,566.16,426.76,1276,789,487,2011,2010
AR-500,Little Rock/Central Arkansas CoC,2012,576.61,434.5,1249,762,487,2012,2010
AR-500,Little Rock/Central Arkansas CoC,2013,589.37,446.87,1066,563,503,2013,2010
AR-500,Little Rock/Central Arkansas CoC,2014,603.37,455.39,1074,571,503,2014,2010
AR-500,Little Rock/Central Arkansas CoC,2015,607.45,458.58,830,491,339,2015,2010
AR-500,Little Rock/Central Arkansas CoC,2016,621.97,475.21,808,469,339,2016,2010
AR-500,Little Rock/Central Arkansas CoC,2017,646.22,497.74,1006,456,550,2017,2010
AR-500,Little Rock/Central Arkansas CoC,2018,664.47,505.32,1081,531,550,2018,2010
AR-500,Little Rock/Central Arkansas CoC,2019,683.29,521.64,1066,493,573,2019,2010
AR-500,Little Rock/Central Arkansas CoC,2020,694.2,539.16,1186,613,573,2020,2020
AR-500,Little Rock/Central Arkansas CoC,2021,732.95,570.14,401,401,0,2021,2020
AR-500,Little Rock/Central Arkansas CoC,2022,789.18,606.24,859,363,496,2022,2020
AR-500,Little Rock/Central Arkansas CoC,2023,824.1,637.9,773,309,464,2023,2020
AR-500,Little Rock/Central Arkansas CoC,2024,860.06,657.97,1016,552,464,2024,2020
AR-501,Fayetteville/Northwest Arkansas CoC,2010,534.77,411.48,251,221,30,2010,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2011,553.21,423.79,238,199,39,2011,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2012,562.43,429.4,186,147,39,2012,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2013,570.41,440.31,668,446,222,2013,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2014,580.46,445.56,551,329,222,2014,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2015,588.21,451.34,665,604,61,2015,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2016,604.47,462.96,550,489,61,2016,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2017,619.35,474.85,330,235,95,2017,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2018,638.27,489.6,474,323,151,2018,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2019,662.14,507.1,518,281,237,2019,2010
AR-501,Fayetteville/Northwest Arkansas CoC,2020,719.72,522.84,352,197,155,2020,2020
AR-501,Fayetteville/Northwest Arkansas CoC,2021,745.62,554.39,157,157,0,2021,2020
AR-501,Fayetteville/Northwest Arkansas CoC,2022,819.97,607.52,343,243,100,2022,2020
AR-501,Fayetteville/Northwest Arkansas CoC,2023,890.19,661.37,436,245,191,2023,2020
AR-501,Fayetteville/Northwest Arkansas CoC,2024,955.4,702.26,412,219,193,2024,2020
AR-503,Arkansas Balance of State  CoC,2010,401.98,280.68,,,,2010,2010
AR-503,Arkansas Balance of State  CoC,2011,420.28,295.78,1816,720,1096,2011,2010
AR-503,Arkansas Balance of State  CoC,2012,433.28,303.98,2715,629,2086,2012,2010
AR-503,Arkansas Balance of State  CoC,2013,442.81,312.73,2014,592,1422,2013,2010
AR-503,Arkansas Balance of State  CoC,2014,452.75,321.51,1056,420,636,2014,2010
AR-503,Arkansas Balance of State  CoC,2015,458.6,327.28,814,425,389,2015,2010
AR-503,Arkansas Balance of State  CoC,2016,469.49,337.58,850,469,381,2016,2010
AR-503,Arkansas Balance of State  CoC,2017,486.23,348.57,875,414,461,2017,2010
AR-503,Arkansas Balance of State  CoC,2018,498.18,356.94,825,341,484,2018,2010
AR-503,Arkansas Balance of State  CoC,2019,513.43,368.01,811,266,545,2019,2010
AR-503,Arkansas Balance of State  CoC,2020,523.52,371.93,773,228,545,2020,2020
AR-503,Arkansas Balance of State  CoC,2021,551.95,392.06,1190,662,528,2021,2020
AR-503,Arkansas Balance of State  CoC,2022,599.71,423.73,814,286,528,2022,2020
AR-503,Arkansas Balance of State  CoC,2023,625.46,438.33,871,389,482,2023,2020
AR-503,Arkansas Balance of State  CoC,2024,642.68,447.48,820,338,482,2024,2020
AR-505,Southeast Arkansas CoC,2010,348.93,246.59,51,51,0,2010,2010
AR-505,Southeast Arkansas CoC,2011,359.6,251.95,94,94,0,2011,2010
AR-505,Southeast Arkansas CoC,2012,376.15,269.67,64,64,0,2012,2010
AR-505,Southeast Arkansas CoC,2013,383.09,280.88,64,63,1,2013,2010
AR-505,Southeast Arkansas CoC,2014,399.12,299.58,70,70,0,2014,2010
AR-505,Southeast Arkansas CoC,2015,401.05,302.76,72,71,1,2015,2010
AR-505,Southeast Arkansas CoC,2016,416.13,306.63,89,78,11,2016,2010
AR-505,Southeast Arkansas CoC,2017,425.1,307.76,88,88,0,2017,2010
AR-505,Southeast Arkansas CoC,2018,437.55,308.3,101,95,6,2018,2010
AR-505,Southeast Arkansas CoC,2019,449.35,306.99,75,75,0,2019,2010
AR-505,Southeast Arkansas CoC,2020,466.71,312.68,55,55,0,2020,2020
AR-505,Southeast Arkansas CoC,2021,478.68,318.09,67,67,0,2021,2020
AR-505,Southeast Arkansas CoC,2022,519.25,348.46,69,61,8,2022,2020
AR-505,Southeast Arkansas CoC,2023,531.62,361.95,86,77,9,2023,2020
AR-505,Southeast Arkansas CoC,2024,550.09,376.66,102,70,32,2024,2020
AR-508,Fort Smith CoC,2010,415.44,319.94,,,,2010,2010
AR-508,Fort Smith CoC,2011,421.08,319.54,,,,2011,2010
AR-508,Fort Smith CoC,2012,436.93,326.76,,,,2012,2010
AR-508,Fort Smith CoC,2013,441.67,332.94,,,,2013,2010
AR-508,Fort Smith CoC,2014,452.21,342.69,185,113,72,2014,2010
AR-508,Fort Smith CoC,2015,463.14,347.79,179,87,92,2015,2010
AR-508,Fort Smith CoC,2016,471.99,356.67,166,111,55,2016,2010
AR-508,Fort Smith CoC,2017,480.53,363.35,168,80,88,2017,2010
AR-508,Fort Smith CoC,2018,497.66,378.7,231,165,66,2018,2010
AR-508,Fort Smith CoC,2019,510.56,401.92,247,187,60,2019,2010
AR-508,Fort Smith CoC,2020,519.63,415.09,,,,2020,2020
AR-508,Fort Smith CoC,2021,543.28,425.76,324,183,141,2021,2020
AR-508,Fort Smith CoC,2022,601.06,475.6,374,210,164,2022,2020
AR-508,Fort Smith CoC,2023,613.64,488.71,443,267,176,2023,2020
AR-508,Fort Smith CoC,2024,640.68,490.4,433,270,163,2024,2020
AZ-500,Arizona Balance of State CoC,2010,637.76,435.41,3069,1005,2064,2010,2010
AZ-500,Arizona Balance of State CoC,2011,661.0,453.31,2047,1318,729,2011,2010
AZ-500,Arizona Balance of State CoC,2012,664.87,464.88,2451,1722,729,2012,2010
AZ-500,Arizona Balance of State CoC,2013,674.08,470.19,2435,1386,1049,2013,2010
AZ-500,Arizona Balance of State CoC,2014,676.47,475.59,2398,1349,1049,2014,2010
AZ-500,Arizona Balance of State CoC,2015,682.52,476.8,2402,1097,1305,2015,2010
AZ-500,Arizona Balance of State CoC,2016,691.69,481.41,2240,1023,1217,2016,2010
AZ-500,Arizona Balance of State CoC,2017,702.19,494.19,1768,1046,722,2017,2010
AZ-500,Arizona Balance of State CoC,2018,721.9,504.26,2187,1102,1085,2018,2010
AZ-500,Arizona Balance of State CoC,2019,739.9,508.59,2021,1038,983,2019,2010
AZ-500,Arizona Balance of State CoC,2020,761.24,512.71,2236,1061,1175,2020,2020
AZ-500,Arizona Balance of State CoC,2021,818.71,539.62,989,989,0,2021,2020
AZ-500,Arizona Balance of State CoC,2022,902.47,578.93,2300,951,1349,2022,2020
AZ-500,Arizona Balance of State CoC,2023,969.95,598.15,2386,1180,1206,2023,2020
AZ-500,Arizona Balance of State CoC,2024,1032.66,624.88,3160,1226,1934,2024,2020
AZ-501,Tucson/Pima County CoC,2010,662.63,484.11,3643,1939,1704,2010,2010
AZ-501,Tucson/Pima County CoC,2011,678.67,500.29,2626,1902,724,2011,2010
AZ-501,Tucson/Pima County CoC,2012,686.3,509.82,2366,1757,609,2012,2010
AZ-501,Tucson/Pima County CoC,2013,695.09,512.97,2238,1737,501,2013,2010
AZ-501,Tucson/Pima County CoC,2014,703.78,520.52,2179,1712,467,2014,2010
AZ-501,Tucson/Pima County CoC,2015,708.23,523.17,1863,1500,363,2015,2010
AZ-501,Tucson/Pima County CoC,2016,721.46,530.81,1765,1384,381,2016,2010
AZ-501,Tucson/Pima County CoC,2017,738.01,542.97,1574,1189,385,2017,2010
AZ-501,Tucson/Pima County CoC,2018,757.99,561.22,1380,1017,363,2018,2010
AZ-501,Tucson/Pima County CoC,2019,776.61,581.01,1372,1011,361,2019,2010
AZ-501,Tucson/Pima County CoC,2020,800.91,595.12,1324,745,579,2020,2020
AZ-501,Tucson/Pima County CoC,2021,844.55,624.29,821,821,0,2021,2020
AZ-501,Tucson/Pima County CoC,2022,926.53,686.0,2227,578,1649,2022,2020
AZ-501,Tucson/Pima County CoC,2023,1001.39,737.22,2209,708,1501,2023,2020
AZ-501,Tucson/Pima County CoC,2024,1075.25,775.27,2142,861,1281,2024,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2010,810.11,612.25,6999,4270,2729,2010,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2011,820.78,617.79,5831,4082,1749,2011,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2012,822.45,615.78,6485,4736,1749,2012,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2013,818.67,614.12,5889,4308,1581,2013,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2014,825.78,616.86,5918,4865,1053,2014,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2015,835.27,622.32,5631,4342,1289,2015,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2016,861.46,639.96,5702,4056,1646,2016,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2017,895.36,667.85,5605,3546,2059,2017,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2018,938.54,701.89,6298,3680,2618,2018,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2019,989.89,741.05,6614,3426,3188,2019,2010
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2020,1052.15,789.46,7419,3652,3767,2020,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2021,1144.33,853.24,3650,3650,0,2021,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2022,1289.05,961.29,9026,3997,5029,2022,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2023,1423.21,1058.61,9642,4734,4908,2023,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2024,1535.63,1141.74,9435,5359,4076,2024,2020
CA-500,San Jose/Santa Clara City & County CoC,2010,1341.06,999.5,7086,2103,4983,2010,2010
CA-500,San Jose/Santa Clara City & County CoC,2011,1396.46,1036.36,7067,1898,5169,2011,2010
CA-500,San Jose/Santa Clara City & County CoC,2012,1445.45,1080.1,7053,1884,5169,2012,2010
CA-500,San Jose/Santa Clara City & County CoC,2013,1487.9,1109.1,7631,1957,5674,2013,2010
CA-500,San Jose/Santa Clara City & County CoC,2014,1543.21,1151.96,7567,1893,5674,2014,2010
CA-500,San Jose/Santa Clara City & County CoC,2015,1640.24,1191.02,6556,1929,4627,2015,2010
CA-500,San Jose/Santa Clara City & County CoC,2016,1746.7,1265.51,6524,1897,4627,2016,2010
CA-500,San Jose/Santa Clara City & County CoC,2017,1884.98,1343.14,7394,1946,5448,2017,2010
CA-500,San Jose/Santa Clara City & County CoC,2018,2036.64,1452.29,7254,1806,5448,2018,2010
CA-500,San Jose/Santa Clara City & County CoC,2019,2168.19,1556.63,9706,1784,7922,2019,2010
CA-500,San Jose/Santa Clara City & County CoC,2020,2269.59,1644.05,9605,1683,7922,2020,2020
CA-500,San Jose/Santa Clara City & County CoC,2021,2397.18,1731.02,2301,2301,0,2021,2020
CA-500,San Jose/Santa Clara City & County CoC,2022,2566.75,1887.7,10028,2320,7708,2022,2020
CA-500,San Jose/Santa Clara City & County CoC,2023,2645.81,1975.86,9903,2502,7401,2023,2020
CA-500,San Jose/Santa Clara City & County CoC,2024,2686.96,2020.08,10394,2993,7401,2024,2020
CA-501,San Francisco CoC,2010,1269.25,798.62,5823,2881,2942,2010,2010
CA-501,San Francisco CoC,2011,1321.48,828.75,5669,2298,3371,2011,2010
CA-501,San Francisco CoC,2012,1373.36,848.48,5895,2524,3371,2012,2010
CA-501,San Francisco CoC,2013,1413.78,870.4,7008,2693,4315,2013,2010
CA-501,San Francisco CoC,2014,1444.17,886.94,6408,2093,4315,2014,2010
