coc_id,coc_name,year,median_contract_rent_2019_dollars,first_quartile_contract_rent_2019_dollars,pit_total,pit_sheltered,pit_unsheltered,acs5_vintage_used,tract_vintage_used,cpi_u_adjustment_factor
AR-501,Fayetteville/Northwest Arkansas CoC,2013,625.99,483.22,668,446,222,2013,2010,1.09744288
AR-501,Fayetteville/Northwest Arkansas CoC,2014,626.85,481.17,551,329,222,2014,2010,1.07992447
AR-501,Fayetteville/Northwest Arkansas CoC,2015,634.47,486.84,665,604,61,2015,2010,1.07864415
AR-501,Fayetteville/Northwest Arkansas CoC,2016,643.89,493.15,550,489,61,2016,2010,1.06520643
AR-501,Fayetteville/Northwest Arkansas CoC,2017,645.97,495.26,330,235,95,2017,2010,1.04298711
AR-501,Fayetteville/Northwest Arkansas CoC,2018,649.84,498.47,474,323,151,2018,2010,1.01811977
AR-501,Fayetteville/Northwest Arkansas CoC,2019,662.14,507.1,518,281,237,2019,2010,1.0
AR-503,Arkansas Balance of State  CoC,2010,471.3,329.08,,,,2010,2010,1.17243736
AR-503,Arkansas Balance of State  CoC,2011,477.67,336.17,1816,720,1096,2011,2010,1.13656147
AR-503,Arkansas Balance of State  CoC,2012,482.46,338.49,2715,629,2086,2012,2010,1.11351777
AR-503,Arkansas Balance of State  CoC,2013,485.96,343.2,2014,592,1422,2013,2010,1.09744288
AR-503,Arkansas Balance of State  CoC,2014,488.94,347.21,1056,420,636,2014,2010,1.07992447
AR-503,Arkansas Balance of State  CoC,2015,494.67,353.02,814,425,389,2015,2010,1.07864415
AR-503,Arkansas Balance of State  CoC,2016,500.1,359.59,850,469,381,2016,2010,1.06520643
AR-503,Arkansas Balance of State  CoC,2017,507.13,363.55,875,414,461,2017,2010,1.04298711
AR-503,Arkansas Balance of State  CoC,2018,507.21,363.41,825,341,484,2018,2010,1.01811977
AR-503,Arkansas Balance of State  CoC,2019,513.43,368.01,811,266,545,2019,2010,1.0
AR-505,Southeast Arkansas CoC,2010,409.1,289.11,51,51,0,2010,2010,1.17243736
AR-505,Southeast Arkansas CoC,2011,408.71,286.36,94,94,0,2011,2010,1.13656147
AR-505,Southeast Arkansas CoC,2012,418.85,300.28,64,64,0,2012,2010,1.11351777
AR-505,Southeast Arkansas CoC,2013,420.42,308.25,64,63,1,2013,2010,1.09744288
AR-505,Southeast Arkansas CoC,2014,431.02,323.52,70,70,0,2014,2010,1.07992447
AR-505,Southeast Arkansas CoC,2015,432.59,326.57,72,71,1,2015,2010,1.07864415
AR-505,Southeast Arkansas CoC,2016,443.26,326.62,89,78,11,2016,2010,1.06520643
AR-505,Southeast Arkansas CoC,2017,443.37,320.99,88,88,0,2017,2010,1.04298711
AR-505,Southeast Arkansas CoC,2018,445.48,313.89,101,95,6,2018,2010,1.01811977
AR-505,Southeast Arkansas CoC,2019,449.35,306.99,75,75,0,2019,2010,1.0
AR-508,Fort Smith CoC,2010,487.08,375.11,,,,2010,2010,1.17243736
AR-508,Fort Smith CoC,2011,478.58,363.18,,,,2011,2010,1.13656147
AR-508,Fort Smith CoC,2012,486.53,363.85,,,,2012,2010,1.11351777
AR-508,Fort Smith CoC,2013,484.71,365.38,,,,2013,2010,1.09744288
AR-508,Fort Smith CoC,2014,488.35,370.08,185,113,72,2014,2010,1.07992447
AR-508,Fort Smith CoC,2015,499.56,375.14,179,87,92,2015,2010,1.07864415
AR-508,Fort Smith CoC,2016,502.77,379.93,166,111,55,2016,2010,1.06520643
AR-508,Fort Smith CoC,2017,501.19,378.97,168,80,88,2017,2010,1.04298711
AR-508,Fort Smith CoC,2018,506.68,385.56,231,165,66,2018,2010,1.01811977
AR-508,Fort Smith CoC,2019,510.56,401.92,247,187,60,2019,2010,1.0
AZ-500,Arizona Balance of State CoC,2010,747.73,510.49,3069,1005,2064,2010,2010,1.17243736
AZ-500,Arizona Balance of State CoC,2011,751.27,515.21,2047,1318,729,2011,2010,1.13656147
AZ-500,Arizona Balance of State CoC,2012,740.34,517.65,2451,1722,729,2012,2010,1.11351777
AZ-500,Arizona Balance of State CoC,2013,739.76,516.01,2435,1386,1049,2013,2010,1.09744288
AZ-500,Arizona Balance of State CoC,2014,730.54,513.6,2398,1349,1049,2014,2010,1.07992447
AZ-500,Arizona Balance of State CoC,2015,736.2,514.3,2402,1097,1305,2015,2010,1.07864415
AZ-500,Arizona Balance of State CoC,2016,736.79,512.8,2240,1023,1217,2016,2010,1.06520643
AZ-500,Arizona Balance of State CoC,2017,732.38,515.43,1768,1046,722,2017,2010,1.04298711
AZ-500,Arizona Balance of State CoC,2018,734.98,513.4,2187,1102,1085,2018,2010,1.01811977
AZ-500,Arizona Balance of State CoC,2019,739.9,508.59,2021,1038,983,2019,2010,1.0
AZ-501,Tucson/Pima County CoC,2010,776.89,567.59,3643,1939,1704,2010,2010,1.17243736
AZ-501,Tucson/Pima County CoC,2011,771.35,568.61,2626,1902,724,2011,2010,1.13656147
AZ-501,Tucson/Pima County CoC,2012,764.21,567.69,2366,1757,609,2012,2010,1.11351777
AZ-501,Tucson/Pima County CoC,2013,762.82,562.96,2238,1737,501,2013,2010,1.09744288
AZ-501,Tucson/Pima County CoC,2014,760.03,562.12,2179,1712,467,2014,2010,1.07992447
AZ-501,Tucson/Pima County CoC,2015,763.93,564.31,1863,1500,363,2015,2010,1.07864415
AZ-501,Tucson/Pima County CoC,2016,768.5,565.42,1765,1384,381,2016,2010,1.06520643
AZ-501,Tucson/Pima County CoC,2017,769.73,566.31,1574,1189,385,2017,2010,1.04298711
AZ-501,Tucson/Pima County CoC,2018,771.72,571.39,1380,1017,363,2018,2010,1.01811977
AZ-501,Tucson/Pima County CoC,2019,776.61,581.01,1372,1011,361,2019,2010,1.0
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2010,949.8,717.82,6999,4270,2729,2010,2010,1.17243736
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2011,932.87,702.16,5831,4082,1749,2011,2010,1.13656147
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2012,915.81,685.68,6485,4736,1749,2012,2010,1.11351777
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2013,898.44,673.96,5889,4308,1581,2013,2010,1.09744288
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2014,891.78,666.16,5918,4865,1053,2014,2010,1.07992447
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2015,900.96,671.26,5631,4342,1289,2015,2010,1.07864415
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2016,917.63,681.69,5702,4056,1646,2016,2010,1.06520643
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2017,933.85,696.56,5605,3546,2059,2017,2010,1.04298711
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2018,955.55,714.61,6298,3680,2618,2018,2010,1.01811977
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2019,989.89,741.05,6614,3426,3188,2019,2010,1.0
CA-500,San Jose/Santa Clara City & County CoC,2010,1572.31,1171.85,7086,2103,4983,2010,2010,1.17243736
CA-500,San Jose/Santa Clara City & County CoC,2011,1587.16,1177.89,7067,1898,5169,2011,2010,1.13656147
CA-500,San Jose/Santa Clara City & County CoC,2012,1609.53,1202.71,7053,1884,5169,2012,2010,1.11351777
CA-500,San Jose/Santa Clara City & County CoC,2013,1632.89,1217.17,7631,1957,5674,2013,2010,1.09744288
CA-500,San Jose/Santa Clara City & County CoC,2014,1666.55,1244.03,7567,1893,5674,2014,2010,1.07992447
CA-500,San Jose/Santa Clara City & County CoC,2015,1769.24,1284.69,6556,1929,4627,2015,2010,1.07864415
CA-500,San Jose/Santa Clara City & County CoC,2016,1860.6,1348.03,6524,1897,4627,2016,2010,1.06520643
CA-500,San Jose/Santa Clara City & County CoC,2017,1966.01,1400.88,7394,1946,5448,2017,2010,1.04298711
CA-500,San Jose/Santa Clara City & County CoC,2018,2073.54,1478.61,7254,1806,5448,2018,2010,1.01811977
CA-500,San Jose/Santa Clara City & County CoC,2019,2168.19,1556.63,9706,1784,7922,2019,2010,1.0
CA-501,San Francisco CoC,2010,1488.12,936.33,5823,2881,2942,2010,2010,1.17243736
CA-501,San Francisco CoC,2011,1501.94,941.93,5669,2298,3371,2011,2010,1.13656147
CA-501,San Francisco CoC,2012,1529.26,944.8,5895,2524,3371,2012,2010,1.11351777
CA-501,San Francisco CoC,2013,1551.54,955.21,7008,2693,4315,2013,2010,1.09744288
CA-501,San Francisco CoC,2014,1559.59,957.83,6408,2093,4315,2014,2010,1.07992447
CA-501,San Francisco CoC,2015,1616.98,962.18,6775,2417,4358,2015,2010,1.07864415
CA-501,San Francisco CoC,2016,1661.37,975.53,6996,2638,4358,2016,2010,1.06520643
CA-501,San Francisco CoC,2017,1697.56,982.92,6858,2505,4353,2017,2010,1.04298711
CA-501,San Francisco CoC,2018,1752.88,1005.1,6857,2504,4353,2018,2010,1.01811977
CA-501,San Francisco CoC,2019,1801.39,1013.14,8035,2855,5180,2019,2010,1.0
CA-502,"Oakland, Berkeley/Alameda County CoC",2010,1310.69,976.96,4341,2378,1963,2010,2010,1.17243736
CA-502,"Oakland, Berkeley/Alameda County CoC",2011,1317.92,978.99,4178,1966,2212,2011,2010,1.13656147
CA-502,"Oakland, Berkeley/Alameda County CoC",2012,1328.01,984.22,4257,2045,2212,2012,2010,1.11351777
CA-502,"Oakland, Berkeley/Alameda County CoC",2013,1331.36,983.25,4264,1927,2337,2013,2010,1.09744288
CA-502,"Oakland, Berkeley/Alameda County CoC",2014,1353.25,984.01,4272,1935,2337,2014,2010,1.07992447
CA-502,"Oakland, Berkeley/Alameda County CoC",2015,1400.84,1007.11,4040,1643,2397,2015,2010,1.07864415
CA-502,"Oakland, Berkeley/Alameda County CoC",2016,1450.95,1029.25,4145,1748,2397,2016,2010,1.06520643
CA-502,"Oakland, Berkeley/Alameda County CoC",2017,1526.94,1069.76,5629,1766,3863,2017,2010,1.04298711
CA-502,"Oakland, Berkeley/Alameda County CoC",2018,1608.26,1112.69,5496,1633,3863,2018,2010,1.01811977
CA-502,"Oakland, Berkeley/Alameda County CoC",2019,1696.91,1156.75,8022,1710,6312,2019,2010,1.0
CA-503,Sacramento City & County CoC,2010,1055.21,825.82,2734,1540,1194,2010,2010,1.17243736
CA-503,Sacramento City & County CoC,2011,1043.53,812.26,2376,1421,955,2011,2010,1.13656147
CA-503,Sacramento City & County CoC,2012,1034.14,795.27,2812,1857,955,2012,2010,1.11351777
CA-503,Sacramento City & County CoC,2013,1027.15,788.7,2538,1752,786,2013,2010,1.09744288
CA-503,Sacramento City & County CoC,2014,1015.4,780.15,2449,1663,786,2014,2010,1.07992447
CA-503,Sacramento City & County CoC,2015,1021.27,777.32,2659,1711,948,2015,2010,1.07864415
CA-503,Sacramento City & County CoC,2016,1027.85,783.57,2500,1552,948,2016,2010,1.06520643
CA-503,Sacramento City & County CoC,2017,1049.68,800.33,3665,1613,2052,2017,2010,1.04298711
CA-503,Sacramento City & County CoC,2018,1086.6,816.94,3621,1569,2052,2018,2010,1.01811977
CA-503,Sacramento City & County CoC,2019,1133.1,854.8,5561,1661,3900,2019,2010,1.0
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2010,1310.87,994.92,3345,1123,2222,2010,2010,1.17243736
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2011,1305.14,982.07,4541,1175,3366,2011,2010,1.13656147
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2012,1298.07,987.27,4483,1117,3366,2012,2010,1.11351777
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2013,1294.38,991.91,4280,971,3309,2013,2010,1.09744288
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2014,1318.05,999.24,4266,957,3309,2014,2010,1.07992447
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2015,1338.54,1007.31,3097,1037,2060,2015,2010,1.07864415
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2016,1373.58,1028.19,2906,1000,1906,2016,2010,1.06520643
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2017,1413.05,1046.95,2835,988,1847,2017,2010,1.04298711
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2018,1449.78,1076.45,2996,1067,1929,2018,2010,1.01811977
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2019,1491.28,1093.59,2951,994,1957,2019,2010,1.0
CA-505,Contra Costa County CoC,2010,1431.76,1052.78,2759,887,1872,2010,2010,1.17243736
CA-505,Contra Costa County CoC,2011,1419.68,1045.15,2415,925,1490,2011,2010,1.13656147
CA-505,Contra Costa County CoC,2012,1421.76,1046.37,2386,896,1490,2012,2010,1.11351777
CA-505,Contra Costa County CoC,2013,1427.69,1040.71,2000,671,1329,2013,2010,1.09744288
CA-505,Contra Costa County CoC,2014,1434.29,1050.38,2009,680,1329,2014,2010,1.07992447
CA-505,Contra Costa County CoC,2015,1479.0,1059.27,2031,704,1327,2015,2010,1.07864415
CA-505,Contra Costa County CoC,2016,1530.96,1089.02,1730,620,1110,2016,2010,1.06520643
CA-505,Contra Costa County CoC,2017,1575.73,1118.16,1607,696,911,2017,2010,1.04298711
CA-505,Contra Costa County CoC,2018,1637.58,1164.82,2234,697,1537,2018,2010,1.01811977
CA-505,Contra Costa County CoC,2019,1714.09,1219.41,2295,668,1627,2019,2010,1.0
CA-506,"Salinas/Monterey, San Benito Counties CoC",2010,1266.06,923.96,2407,779,1628,2010,2010,1.17243736
CA-506,"Salinas/Monterey, San Benito Counties CoC",2011,1259.41,931.53,2699,788,1911,2011,2010,1.13656147
CA-506,"Salinas/Monterey, San Benito Counties CoC",2012,1268.22,935.57,2673,762,1911,2012,2010,1.11351777
CA-506,"Salinas/Monterey, San Benito Counties CoC",2013,1276.34,943.68,2955,749,2206,2013,2010,1.09744288
CA-506,"Salinas/Monterey, San Benito Counties CoC",2014,1276.37,937.81,2962,756,2206,2014,2010,1.07992447
CA-506,"Salinas/Monterey, San Benito Counties CoC",2015,1299.25,938.93,2959,852,2107,2015,2010,1.07864415
CA-506,"Salinas/Monterey, San Benito Counties CoC",2016,1306.19,943.55,3022,915,2107,2016,2010,1.06520643
CA-506,"Salinas/Monterey, San Benito Counties CoC",2017,1334.12,953.79,3364,850,2514,2017,2010,1.04298711
CA-506,"Salinas/Monterey, San Benito Counties CoC",2018,1373.94,971.11,3299,785,2514,2018,2010,1.01811977
CA-506,"Salinas/Monterey, San Benito Counties CoC",2019,1427.38,1003.88,2704,706,1998,2019,2010,1.0
CA-507,Marin County CoC,2010,1706.34,1260.51,1026,597,429,2010,2010,1.17243736
CA-507,Marin County CoC,2011,1697.98,1250.59,862,509,353,2011,2010,1.13656147
CA-507,Marin County CoC,2012,1680.1,1249.37,725,496,229,2012,2010,1.11351777
CA-507,Marin County CoC,2013,1661.23,1230.21,676,505,171,2013,2010,1.09744288
CA-507,Marin County CoC,2014,1680.61,1241.9,679,501,178,2014,2010,1.07992447
CA-507,Marin County CoC,2015,1732.68,1265.95,1318,483,835,2015,2010,1.07864415
