msa_population_rank_2020_pep_non_pr,msa_id,cbsa_code,msa_name,area_type,year,msa_2020_pep_population_non_pr,population_ranking_coverage_ratio,expected_county_count,observed_county_count,population_ranking_missing_counties,pit_total,pit_sheltered,pit_unsheltered,covered_coc_count,expected_coc_count,allocation_share_sum,expected_allocation_share_sum,allocation_coverage_ratio,missing_cocs,unmapped_source_coc_count,overdose_deaths_12mo,overdose_coverage_ratio,overdose_county_count,overdose_county_expected,overdose_missing_counties,overdose_suppressed_counties,overdose_reference_month,overdose_reference_date,pr_excluded,ranking_source,pit_source,pit_allocation_basis,overdose_source,boundary_vintage,county_vintage,definition_version
21,41180,41180,"St. Louis, MO-IL",Metropolitan Statistical Area,2020,2819811,1.0,15,15,,2594.2865233620146,2046.2926174873242,547.9939058746904,9,9,5.298862963115933,5.298862963115933,1.0,,20,1049.0,0.6,9,15,,"17005,17013,17027,17083,17133,29219",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
22,36740,36740,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,2020,2680430,1.0,4,4,,2293.005950317274,1661.4777402805357,631.5282100367381,3,3,1.4068765672836319,1.4068765672836319,1.0,,20,547.0,1.0,4,4,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
23,16740,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,2020,2668342,1.0,11,11,,2252.050506085025,1805.49092245034,446.55958363468494,5,5,1.8673500528303093,1.8673500528303093,1.0,,20,490.0,0.8181818181818182,9,11,,"37007,45023",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
24,41700,41700,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area,2020,2568772,1.0,8,8,,3177.3044498114236,1749.5557921507527,1427.7486576606705,2,2,1.0266693248327279,1.0266693248327279,1.0,,20,294.0,0.375,3,8,,"48013,48019,48259,48325,48493",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
25,38900,38900,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area,2020,2517518,1.0,7,7,,6316.753595745966,3085.061888054719,3231.691707691247,7,7,4.0401172744906635,4.0401172744906635,1.0,,20,364.0,0.5714285714285714,4,7,,"41009,41071,53059",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
26,38300,38300,"Pittsburgh, PA",Metropolitan Statistical Area,2020,2455193,1.0,8,8,,1209.4934188085308,1019.5698685843047,189.92355022422612,4,4,2.2937215190250804,2.2937215190250804,1.0,,20,987.0,1.0,8,8,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
27,40900,40900,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area,2020,2401737,1.0,4,4,,7557.878818699572,2376.5733885660434,5181.305430133529,5,5,3.9983276835648107,3.9983276835648107,1.0,,20,440.0,1.0,4,4,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
28,12420,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,2020,2300172,1.0,5,5,,2636.540245679682,980.7243704706033,1655.8158752090787,3,3,1.014248332039246,1.014248332039246,1.0,,20,218.0,0.8,4,5,,48021,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
29,29820,29820,"Las Vegas-Henderson-North Las Vegas, NV",Metropolitan Statistical Area,2020,2275833,1.0,1,1,,5282.999951701941,1821.9999833429752,3460.9999683589663,1,1,0.9999999908578349,0.9999999908578349,1.0,,20,432.0,1.0,1,1,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
30,17140,17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,2020,2251978,1.0,15,15,,1439.8659818591548,1291.1471721977318,148.71880966142282,5,5,1.113638413225222,1.113638413225222,1.0,,20,890.0,0.6666666666666666,10,15,,"18047,18115,21023,21077,21191",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
31,28140,28140,"Kansas City, MO-KS",Metropolitan Statistical Area,2020,2195241,1.0,14,14,,2280.6953369046746,1682.1399137747612,598.5554231299134,4,4,2.089676143909937,2.089676143909937,1.0,,20,316.0,0.5714285714285714,8,14,,"20107,20121,29013,29049,29107,29177",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
32,17410,17410,"Cleveland, OH",Metropolitan Statistical Area,2020,2184166,1.0,6,6,,1890.7725973135728,1722.2948838801442,168.47771343342836,2,2,1.0603222245773791,1.0603222245773791,1.0,,20,750.0,1.0,6,6,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
33,18140,18140,"Columbus, OH",Metropolitan Statistical Area,2020,2141983,1.0,10,10,,2443.9576102079395,1898.5041006567021,545.4535095512374,2,2,1.114050212526918,1.114050212526918,1.0,,20,781.0,0.9,9,10,,39073,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
34,26900,26900,"Indianapolis-Carmel-Greenwood, IN",Metropolitan Statistical Area,2020,2092783,1.0,11,11,,2004.3609999456041,1737.9147329261411,266.4462670194628,2,2,1.1031362397685416,1.1031362397685416,1.0,,20,621.0,0.9090909090909091,10,11,,18159,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
35,34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area,2020,2021837,1.0,14,14,,2623.980111743399,1810.9158758108615,813.0642359325375,4,4,2.628035763021659,2.628035763021659,1.0,,20,705.0,0.7857142857142857,11,14,,"47111,47159,47169",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
36,41940,41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,2020,1995874,1.0,2,2,,10397.949505379567,1885.4494204827674,8512.5000848968,3,3,1.2955466514904472,1.2955466514904472,1.0,,20,215.0,1.0,2,2,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
37,47260,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area,2020,1781673,1.0,18,18,,1442.7639987607442,1183.2519131428667,259.51208561787746,6,6,3.6966931061074324,3.6966931061074324,1.0,,20,282.0,0.5,9,18,,"37029,37053,37073,51073,51093,51095,51181,51735,51830",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
38,39300,39300,"Providence-Warwick, RI-MA",Metropolitan Statistical Area,2020,1673210,1.0,6,6,,2109.002197487236,1866.0023067397406,242.99989074749593,5,5,3.9999958765432355,3.9999958765432355,1.0,,20,579.0,1.0,6,6,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
39,27260,27260,"Jacksonville, FL",Metropolitan Statistical Area,2020,1613022,1.0,5,5,,1732.9999985557556,1076.99999934542,655.9999992103357,2,2,1.9999999962136128,1.9999999962136128,1.0,,20,510.0,0.8,4,5,,12003,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
40,33340,33340,"Milwaukee-Waukesha, WI",Metropolitan Statistical Area,2020,1574549,1.0,4,4,,1032.474104446956,942.5903294882079,89.88377495874808,2,2,1.0230701984268782,1.0230701984268782,1.0,,20,509.0,1.0,4,4,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
41,36420,36420,"Oklahoma City, OK",Metropolitan Statistical Area,2020,1430019,1.0,7,7,,1874.5465613823305,1162.3772091563044,712.1693522260258,6,6,2.225756525246152,2.225756525246152,1.0,,20,209.0,0.5714285714285714,4,7,,"40081,40083,40087",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
42,39580,39580,"Raleigh-Cary, NC",Metropolitan Statistical Area,2020,1417382,1.0,3,3,,1076.5080689590457,812.3031528276874,264.2049161313583,3,3,1.0314256572940848,1.0314256572940848,1.0,,20,184.0,1.0,3,3,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
43,31140,31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,2020,1362981,1.0,12,12,,1392.7102254721517,1178.1377514754215,214.57247399673042,3,3,1.095960941189853,1.095960941189853,1.0,,20,500.0,0.6666666666666666,8,12,,"18175,21103,21163,21215",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
44,32820,32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area,2020,1346138,1.0,9,9,,1154.5547741721068,945.5534698558964,209.00130431621045,4,4,1.1859074348411431,1.1859074348411431,1.0,,20,333.0,0.4444444444444444,4,9,,"05035,28093,28137,28143,47047",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
45,40060,40060,"Richmond, VA",Metropolitan Statistical Area,2020,1316683,1.0,17,17,,622.5792930640094,477.9791614628944,144.60013160111504,3,3,1.0946551852364366,1.0946551852364366,1.0,,20,330.0,0.47058823529411764,8,17,,"51007,51036,51053,51075,51101,51127,51145,51149,51570",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
46,41620,41620,"Salt Lake City-Murray, UT",Metropolitan Statistical Area,2020,1260358,1.0,2,2,,2031.4924342631673,1734.1873310330345,297.3051032301327,3,3,1.0824591819782985,1.0824591819782985,1.0,,20,267.0,1.0,2,2,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
47,13820,13820,"Birmingham, AL",Metropolitan Statistical Area,2020,1181801,1.0,7,7,,882.4913613163851,618.8523126275905,263.6390486887945,2,2,1.0866617119447581,1.0866617119447581,1.0,,20,271.0,0.5714285714285714,4,7,,"01007,01009,01021",1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
48,23420,23420,"Fresno, CA",Metropolitan Statistical Area,2020,1165959,1.0,2,2,,3640.999979935269,959.9999947096562,2680.999985225613,1,1,0.9999999944892253,0.9999999944892253,1.0,,20,169.0,1.0,2,2,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
49,15380,15380,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,2020,1164609,1.0,2,2,,448.4526505067631,431.4813919440072,16.971258562755946,1,1,0.5142805625077559,0.5142805625077559,1.0,,20,242.0,1.0,2,2,,,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
50,24340,24340,"Grand Rapids-Wyoming-Kentwood, MI",Metropolitan Statistical Area,2020,1151530,1.0,5,5,,1251.9706129793428,1146.664773925264,105.30583905407896,3,3,2.0273979368724206,2.0273979368724206,1.0,,20,159.0,0.8,4,5,,26117,1.0,2020-01-31,True,census_pep_county_v2025_y2020,pit_vintage_P2025_filtered_to_2020,coc_to_msa_area_share_B2020_Mcensus_msa_2023_C2023,cdc_vsrr_county_overdose_january_trailing_12_months,2020,2023,census_msa_2023
